,NK,population,softmax param,mutation rate,results
0,"(20, 3)",50,10.0,0.1,"[[ 9.445377  10.562013  12.902118  ... 18.411892  18.411892  18.411892 ]
 [ 9.428742  11.147057  11.190454  ... 13.940532  13.940532  13.940532 ]
 [11.820665  11.820665  11.854915  ... 18.319708  18.319708  18.319708 ]
 ...
 [11.209426  16.25963   16.907722  ... 18.94463   18.94463   18.94463  ]
 [12.933764  13.36176   13.36176   ... 16.622551  16.622551  16.622551 ]
 [ 9.455868  11.902681  12.2923565 ... 12.605833  12.605833  12.605833 ]]"
1,"(20, 3)",50,10.0,0.07,"[[ 9.445377  10.422865  13.599627  ... 17.746305  17.746305  17.524595 ]
 [ 9.428742  11.147057  11.147057  ... 13.940532  13.940532  13.940532 ]
 [11.820665  11.820665  11.854915  ... 18.966423  18.784147  18.966423 ]
 ...
 [11.178327  15.735014  18.484362  ... 18.835302  19.31584   19.31584  ]
 [12.933764  13.36176   15.340672  ... 16.622551  16.622551  16.622551 ]
 [ 9.455868  11.902681  12.2923565 ... 12.975904  12.975904  12.975904 ]]"
2,"(20, 3)",50,10.0,0.03,"[[10.686809 12.299137 13.187524 ... 16.204548 16.811106 14.479402]
 [ 9.428742 11.147057 11.147057 ... 14.445093 14.445093 14.445093]
 [11.820665 11.820665 11.854915 ... 18.784147 18.966423 18.966423]
 ...
 [10.463967 10.902006 11.748913 ... 19.422548 19.422548 19.422548]
 [13.690022 12.184905 11.941797 ... 16.576893 16.6852   16.6852  ]
 [10.76234  12.701554 11.849377 ... 15.394636 14.745079 15.394636]]"
3,"(20, 3)",50,10.0,0.01,"[[10.686809 13.7091   13.087245 ... 17.288136 15.315916 16.594143]
 [10.392883 10.126458 10.32128  ... 12.720602 11.788473 13.033738]
 [10.651177  9.630638 12.509872 ... 12.645383 15.001035 15.001035]
 ...
 [ 8.992925 12.592003 11.922674 ... 15.574648 16.079638 17.618036]
 [13.690022 12.018148 12.962311 ... 14.776936 15.453924 15.453924]
 [10.206449 10.313076 10.786825 ... 11.958353  9.913516 11.101706]]"
4,"(20, 3)",50,1.0,0.1,"[[ 9.445377  10.605509  11.052098  ... 17.43375   17.43375   17.251753 ]
 [ 9.428742  11.147057  11.029769  ... 14.347336  14.347336  14.347336 ]
 [ 8.249227  11.820665  11.854915  ... 18.966423  18.966423  18.966423 ]
 ...
 [11.209426  16.25963   16.907722  ... 19.56661   19.56661   19.56661  ]
 [12.933764  12.933764  14.464507  ... 17.346523  17.346523  17.750877 ]
 [ 9.756855  11.157566  12.478413  ... 12.2665615 12.2665615 12.2923565]]"
5,"(20, 3)",50,1.0,0.07,"[[ 9.445377   9.346961  10.690673  ... 17.746305  17.746305  17.439247 ]
 [ 9.428742  11.147057  10.9373665 ... 15.016821  14.599377  13.48433  ]
 [ 8.249227  11.090361  11.820665  ... 18.966423  18.784147  18.784147 ]
 ...
 [11.178327  15.779659  16.303556  ... 19.56661   19.56661   18.835302 ]
 [12.933764  13.36176   14.464507  ... 16.622551  16.514244  16.622551 ]
 [ 9.939006  11.157566  10.962872  ... 16.878551  16.87592   16.87592  ]]"
6,"(20, 3)",50,1.0,0.03,"[[10.686809 12.299137 14.272578 ... 14.603877 17.883675 16.375595]
 [ 9.428742 11.147057 11.147057 ... 11.593994 11.593994 12.590797]
 [ 8.249227  9.077077 11.693051 ... 16.549736 18.374126 18.374126]
 ...
 [10.463967  9.857669 11.638575 ... 16.20437  16.20437  15.93942 ]
 [13.690022 12.184905 11.941797 ... 16.041004 16.6852   17.750877]
 [10.460206 11.73118  11.756414 ... 14.951727 14.468397 14.468397]]"
7,"(20, 3)",50,1.0,0.01,"[[10.686809  13.7091    13.087245  ... 14.057008  15.273928  14.968773 ]
 [10.2935    10.564221  10.564221  ... 11.903637  14.1616125 14.1616125]
 [ 9.046166   8.219267   8.60494   ... 15.804952  14.135052  13.8174715]
 ...
 [10.105957   9.868182  10.6582575 ... 18.373663  18.373663  19.197044 ]
 [13.690022  12.018148  11.388034  ... 11.807426  11.9655905 12.369203 ]
 [10.576898  11.73118    8.783936  ... 10.652603  12.399943  11.941548 ]]"
8,"(20, 3)",50,0.1,0.1,"[[ 9.445377 11.434399 10.276412 ... 16.684547 16.684547 10.48017 ]
 [ 9.428742 10.011579  8.375094 ... 11.158798  9.022778 10.612229]
 [ 7.67925   9.01389  11.674709 ... 13.350553 12.183877 12.659708]
 ...
 [11.064561 12.826378 12.994598 ... 14.864388 13.191441 14.173573]
 [11.311736  9.352467 11.975694 ... 13.681013 14.546468 12.958014]
 [ 9.756855 11.157566  9.266076 ... 15.394636 15.394636 13.436609]]"
9,"(20, 3)",50,0.1,0.07,"[[ 9.445377  10.8446245  9.849539  ...  9.568434  12.735838  12.735838 ]
 [ 9.428742  10.564221   9.324122  ... 10.734321   9.461955   8.038317 ]
 [ 7.518921  10.082055  12.062207  ... 11.130106  11.301314  10.646717 ]
 ...
 [11.064561  12.346409  12.994598  ... 18.609798  18.609798  19.197044 ]
 [11.645735   9.318238  10.520583  ... 10.827103  10.504099  10.846495 ]
 [ 9.756855  11.157566  10.31338   ...  7.1476374  9.097074  12.486986 ]]"
10,"(20, 3)",50,0.1,0.03,"[[10.686809  10.8446245  9.699979  ... 11.68594    9.668844  13.358973 ]
 [ 9.428742   8.574827   9.295774  ...  5.791012   9.778393   9.252857 ]
 [ 7.3124847  7.91368   11.957979  ... 13.131645  12.3310585  9.506952 ]
 ...
 [11.580626  10.247676  11.074708  ... 13.425571  13.790662  11.679894 ]
 [11.311736   9.288819   9.114429  ... 10.90504   12.743676  10.349407 ]
 [10.54044   11.157566  10.41073   ...  9.47676    9.95793    9.011495 ]]"
11,"(20, 3)",50,0.1,0.01,"[[10.886735  12.064845  10.459814  ... 10.182091  11.580397   9.089785 ]
 [10.2935     7.866064   7.510991  ...  5.1770644  6.8349724  8.231475 ]
 [ 6.697982  10.351782   8.739314  ...  7.382206  10.961901  11.351406 ]
 ...
 [10.957063   9.280779  11.826301  ... 10.682175   9.685663  12.555757 ]
 [11.896946   8.512088   9.691263  ... 11.269902  10.328049   9.960104 ]
 [11.73118    9.034105  11.261085  ...  9.4673605  9.2873535  9.188634 ]]"
12,"(20, 3)",50,0.01,0.1,"[[ 9.341393  10.605509  11.312588  ...  9.636071  10.3492775  9.929439 ]
 [ 9.428742   6.9386525  4.7905264 ...  5.017577   8.139646   3.6746058]
 [ 7.67925   10.068607  11.836262  ...  7.971361   8.702193   9.146379 ]
 ...
 [11.064561  10.4020405 11.600969  ... 13.65197   12.802174  13.1101465]
 [11.311736  10.336738  10.203951  ... 10.477451  10.477451  15.5705595]
 [ 9.756855   7.0616946  8.372722  ...  8.848147  11.933681   9.003786 ]]"
13,"(20, 3)",50,0.01,0.07,"[[ 9.341393  10.120672  11.205242  ... 10.136539   9.519031  10.106118 ]
 [ 9.428742   6.9386525  5.890245  ...  9.062034   4.009109   7.0299916]
 [ 7.518921  10.082055  14.006019  ...  9.847501   6.177813   8.945357 ]
 ...
 [11.064561  10.4020405 13.3138685 ... 12.187992  13.733679   8.607069 ]
 [11.645735   9.352467   7.4841056 ... 12.206335  11.01793   13.807778 ]
 [ 9.756855   9.2519045  8.669423  ...  8.147956   8.034814  11.307103 ]]"
14,"(20, 3)",50,0.01,0.03,"[[10.686809   8.879628  10.697462  ...  6.9943595  9.477016   7.560819 ]
 [ 9.428742   7.8895197 10.961104  ...  5.773801   5.368959   7.682886 ]
 [11.209428   7.91368   11.957979  ...  6.306904   8.296189   8.870248 ]
 ...
 [11.580626  11.042941   9.91135   ...  8.851959  12.463055  13.45131  ]
 [11.311736   7.8747177 11.748122  ... 10.672214   8.112303   9.556011 ]
 [10.54044    9.878038   6.576919  ...  8.775243  10.42927    9.123887 ]]"
15,"(20, 3)",50,0.01,0.01,"[[10.886735   6.1889477  8.627772  ...  9.428101  11.742604   8.162225 ]
 [10.2935     9.229079   4.889514  ...  5.618886   7.2014112  6.8462486]
 [11.209428  10.351782  13.300385  ...  9.189507  10.282226   8.5557   ]
 ...
 [10.957063  11.042941  10.5816145 ...  9.566154  10.553702  10.762742 ]
 [11.311736   8.265224   9.542427  ...  9.759759  10.608526  12.491367 ]
 [11.73118    9.264208   8.926774  ... 11.80396    9.717592  11.290157 ]]"
16,"(20, 3)",100,10.0,0.1,"[[11.329604  11.329604  11.329604  ... 17.925531  17.925531  17.925531 ]
 [ 6.0197334  9.810048  10.392883  ... 14.596813  14.596813  14.596813 ]
 [12.934115  17.302687  18.319708  ... 18.374126  18.374126  18.374126 ]
 ...
 [12.450915  14.687243  14.987402  ... 19.56661   19.56661   19.56661  ]
 [14.464507  14.621633  14.887195  ... 17.750877  17.750877  17.750877 ]
 [11.30582   12.975904  12.975904  ... 12.975904  12.975904  12.975904 ]]"
17,"(20, 3)",100,10.0,0.07,"[[11.329604  11.329604  11.329604  ... 17.925531  17.925531  17.925531 ]
 [ 6.0197334  9.202715  10.384087  ... 15.077808  15.077808  15.077808 ]
 [12.934115  17.302687  18.319708  ... 18.374126  18.374126  18.374126 ]
 ...
 [12.450915  14.687243  14.912747  ... 19.56661   19.56661   19.56661  ]
 [14.464507  14.887195  14.887195  ... 16.622551  16.622551  16.622551 ]
 [11.30582   12.848484  12.975904  ... 12.975904  12.975904  12.975904 ]]"
18,"(20, 3)",100,10.0,0.03,"[[11.329604 11.329604 12.687487 ... 17.251753 17.251753 17.251753]
 [ 7.109787  9.567106 10.587159 ... 14.596813 14.596813 14.596813]
 [14.135052 14.249576 17.188162 ... 18.975525 18.975525 18.975525]
 ...
 [12.450915 14.687243 16.113451 ... 19.56661  19.56661  19.163132]
 [15.753367 15.753367 15.753367 ... 16.622551 16.622551 16.622551]
 [10.111691 12.848484 12.848484 ... 12.975904 12.848484 12.975904]]"
